K,Kh_over_J2,q4,q4_sem
0.05,0.4,0.1645111485252598,0.0004199929012227942
0.1,0.8,0.21678946122051482,0.0006586820152982568
0.15,1.2,0.22207652353093754,0.0004835991170455231
0.2,1.6,0.23765614215169853,0.0005987006011919429
0.25,2.0,0.2797231552958996,0.000996785436847089
0.3,2.4,0.32756090431706414,0.002551766023705576
0.35,2.8,0.37913308592177364,0.003390466814410384
0.4,3.2,0.43294272863530625,0.004824417570853577
0.45,3.6,0.4547865686632025,0.005699141457942706
0.5,4.0,0.46206208663706416,0.006304128366451241
0.55,4.4,0.4743161908710496,0.006712033268193842
0.6,4.8,0.47295536287331663,0.006990865083087716
0.65,5.2,0.48197314112691164,0.007186555406929743
0.7,5.6,0.4797195402845866,0.007330219511752759
0.75,6.0,0.4842435094602305,0.007442311463415023
0.8,6.4,0.485101875842324,0.0075297203828939676
0.85,6.8,0.4843842355186319,0.007594103074478992
0.9,7.2,0.48887767856318803,0.00763597158018118
0.95,7.6,0.4848685433991047,0.007659959967346737
