K,Kh_over_J2,m3,m3_sem
0.05,0.5,0.5836036908438115,0.0005975135379850101
0.1,1.0,0.44522360630630453,0.0007296904337073459
0.15,1.5,0.3896475753798558,0.0005768928916175859
0.2,2.0,0.38279504121845415,0.0011162806228298039
0.25,2.5,0.39896085896207784,0.0015235233748815918
0.3,3.0,0.4393009382137133,0.004064037410165324
0.35,3.5,0.46743727307243044,0.005969046379399081
0.4,4.0,0.4710899508974301,0.006298136277693185
0.45,4.5,0.4770373118191761,0.006745947700656261
0.5,5.0,0.4821716124098653,0.007039844443622505
0.55,5.5,0.48076309175803805,0.007238546400302693
0.6,6.0,0.4885759849408055,0.007370868816923865
0.65,6.5,0.48331495832146776,0.0074599450041108245
0.7,7.0,0.49105545890443275,0.0075224880731400694
0.75,7.5,0.48702295349484986,0.007574092887220352
0.8,8.0,0.4906200924585499,0.007621015079223611
0.85,8.5,0.4912859750272367,0.00766138036500338
0.9,9.0,0.48959068445086246,0.007689452954932413
0.95,9.5,0.4943110972136313,0.007702623487311409
