K,Kh_over_J2,q4,q4_sem
0.05,0.1,0.29625296663962775,0.00017964193853652456
0.1,0.2,0.26832325026594156,0.0002480257868043868
0.15,0.3,0.2372676966624005,0.0003380591732667451
0.2,0.4,0.2120049161462868,0.00042954844548030296
0.25,0.5,0.19005113636816914,0.0005025289515748926
0.3,0.6,0.17479731925416267,0.0005619709499796811
0.35,0.7,0.16183915889889205,0.0005992916961434713
0.4,0.8,0.15040095257325875,0.0006064429524924304
0.45,0.9,0.14185018742424763,0.0006013183455372825
0.5,1.0,0.13300960759043937,0.0005614856718449249
0.55,1.1,0.1315194972349138,0.000564837488019807
0.6,1.2,0.144808783691849,0.0007036800788732546
0.65,1.3,0.16886505074156685,0.0008414201824547068
0.7,1.4,0.19538899399624582,0.0010682193888886782
0.75,1.5,0.22224718118982922,0.0012664755305448465
0.8,1.6,0.2525407829015942,0.0016764429275087052
0.85,1.7,0.2902723463134281,0.0025633246243124273
0.9,1.8,0.3263406660767419,0.0027281126215230917
0.95,1.9,0.35588481453828696,0.0035419831413833875
