K,Kh_over_J2,sum,sum_sem
0.05,0.2,0.41252459524263835,0.00035350550756897247
0.1,0.4,0.41365829731136194,0.0008323123807637732
0.15,0.6,0.40588377436818346,0.001201745054399823
0.2,0.8,0.39268836274264896,0.001273967299953346
0.25,1.0,0.3767416251444161,0.0012149683855038182
0.3,1.2,0.36265468140397844,0.0008891940892420773
0.35,1.4,0.3808652987877382,0.0009381256523526064
0.4,1.6,0.4307469375558438,0.0014068892288441161
0.45,1.8,0.49164435180512556,0.0018731179471660928
0.5,2.0,0.5587370953719599,0.0022846834796816213
0.55,2.2,0.6379934513681756,0.002698712828950552
0.6,2.4,0.7399996762251149,0.0032621017336824246
0.65,2.6,0.8274173800875013,0.0039874617475924735
0.7,2.8,0.8661999063494961,0.0032948748493373354
0.75,3.0,0.8883257437852661,0.004341822237694674
0.8,3.2,0.9029872308932436,0.006881599338312103
0.85,3.4,0.9130419094359637,0.00907667968581575
0.9,3.6,0.9202373340494461,0.010896389750808288
0.95,3.8,0.9245019547326789,0.012050692623357053
